Ligand,Score
CHEMBL4650485_preprocessed_conf9_out.sdf,-4.714
CHEMBL779_preprocessed_conf3_out.sdf,-4.115
CHEMBL65375_preprocessed_conf6_out.sdf,-2.869
CHEMBL1619785_preprocessed_conf4_out.sdf,-4.317
CHEMBL1763_preprocessed_conf3_out.sdf,-3.064
CHEMBL6466_preprocessed_conf6_out.sdf,-3.074
CHEMBL249837_preprocessed_conf2_out.sdf,-3.889
CHEMBL1639_preprocessed_conf9_out.sdf,-4.062
CHEMBL965_preprocessed_conf8_out.sdf,-2.056
CHEMBL971_preprocessed_conf9_out.sdf,-3.455
CHEMBL1387_preprocessed_conf2_out.sdf,-4.095
CHEMBL3833332_preprocessed_conf4_out.sdf,-1.587
CHEMBL2107815_preprocessed_conf0_out.sdf,-4.113
CHEMBL276520_preprocessed_conf4_out.sdf,-3.5
CHEMBL1622_preprocessed_conf7_out.sdf,-3.977
CHEMBL517199_preprocessed_conf9_out.sdf,-4.116
CHEMBL2106975_preprocessed_conf4_out.sdf,-1.753
CHEMBL1201728_preprocessed_conf0_out.sdf,-3.15
CHEMBL1201045_preprocessed_conf6_out.sdf,-2.914
CHEMBL1731_preprocessed_conf1_out.sdf,-3.846
CHEMBL1852688_preprocessed_conf4_out.sdf,-3.506
CHEMBL93_preprocessed_conf1_out.sdf,-3.308
CHEMBL288441_preprocessed_conf3_out.sdf,-3.798
CHEMBL3989403_preprocessed_conf4_out.sdf,-3.39
CHEMBL930_preprocessed_conf8_out.sdf,-2.52
CHEMBL1200873_preprocessed_conf5_out.sdf,-3.433
CHEMBL1256391_preprocessed_conf8_out.sdf,-3.195
CHEMBL360328_preprocessed_conf0_out.sdf,-3.347
CHEMBL2096650_preprocessed_conf2_out.sdf,-1.598
CHEMBL1200709_preprocessed_conf4_out.sdf,-3.263
CHEMBL2104594_preprocessed_conf8_out.sdf,-3.027
CHEMBL1431_preprocessed_conf8_out.sdf,-2.345
CHEMBL1201729_preprocessed_conf5_out.sdf,-4.261
CHEMBL5095049_preprocessed_conf8_out.sdf,-4.54
CHEMBL1696_preprocessed_conf0_out.sdf,-3.661
CHEMBL256997_preprocessed_conf3_out.sdf,-3.94
CHEMBL3989861_preprocessed_conf7_out.sdf,-3.158
CHEMBL1201302_preprocessed_conf6_out.sdf,-3.628
CHEMBL453514_preprocessed_conf8_out.sdf,-3.538
CHEMBL5315125_preprocessed_conf2_out.sdf,-4.149
CHEMBL1707_preprocessed_conf7_out.sdf,-3.96
CHEMBL428647_preprocessed_conf5_out.sdf,-4.416
CHEMBL2105760_preprocessed_conf6_out.sdf,-4.302
CHEMBL1201745_preprocessed_conf0_out.sdf,-3.632
CHEMBL105_preprocessed_conf4_out.sdf,-3.51
CHEMBL3989570_preprocessed_conf3_out.sdf,-3.437
CHEMBL218394_preprocessed_conf9_out.sdf,-3.753
CHEMBL1201027_preprocessed_conf8_out.sdf,-3.48
CHEMBL1433_preprocessed_conf4_out.sdf,-4.205
CHEMBL1255_preprocessed_conf2_out.sdf,-1.122
CHEMBL110458_preprocessed_conf4_out.sdf,-2.185
CHEMBL515408_preprocessed_conf2_out.sdf,-3.283
CHEMBL2178422_preprocessed_conf8_out.sdf,-4.184
CHEMBL1373_preprocessed_conf9_out.sdf,-3.562
CHEMBL1615439_preprocessed_conf9_out.sdf,-2.965
CHEMBL1329455_preprocessed_conf4_out.sdf,-2.689
CHEMBL1465_preprocessed_conf9_out.sdf,-4.135
