Ligand,Score
CHEMBL746_preprocessed_conf4_out.sdf,-3.987
CHEMBL1201043_preprocessed_conf4_out.sdf,-3.151
CHEMBL296306_preprocessed_conf3_out.sdf,-2.554
CHEMBL965_preprocessed_conf9_out.sdf,-2.296
CHEMBL1201775_preprocessed_conf6_out.sdf,-2.996
CHEMBL19299_preprocessed_conf8_out.sdf,-3.774
CHEMBL24171_preprocessed_conf1_out.sdf,-3.693
CHEMBL1201033_preprocessed_conf4_out.sdf,-2.915
CHEMBL1200980_preprocessed_conf1_out.sdf,-4.213
CHEMBL1443_preprocessed_conf4_out.sdf,-3.945
CHEMBL418995_preprocessed_conf4_out.sdf,-4.897
CHEMBL1098659_preprocessed_conf2_out.sdf,-0.599
CHEMBL282575_preprocessed_conf2_out.sdf,-4.256
CHEMBL1200432_preprocessed_conf6_out.sdf,-3.977
CHEMBL1232131_preprocessed_conf9_out.sdf,-2.951
CHEMBL3989555_preprocessed_conf6_out.sdf,-4.303
CHEMBL1619785_preprocessed_conf0_out.sdf,-3.681
CHEMBL361812_preprocessed_conf8_out.sdf,-4.171
CHEMBL2106615_preprocessed_conf3_out.sdf,-3.911
CHEMBL56337_preprocessed_conf5_out.sdf,-3.94
CHEMBL1098285_preprocessed_conf3_out.sdf,-2.592
CHEMBL1200895_preprocessed_conf2_out.sdf,-3.795
CHEMBL76370_preprocessed_conf8_out.sdf,-3.986
CHEMBL1010_preprocessed_conf7_out.sdf,-3.466
CHEMBL84_preprocessed_conf3_out.sdf,-4.054
CHEMBL1113_preprocessed_conf2_out.sdf,-4.087
CHEMBL532_preprocessed_conf5_out.sdf,0.149
CHEMBL505_preprocessed_conf0_out.sdf,-4.652
CHEMBL4071161_preprocessed_conf3_out.sdf,-4.272
CHEMBL864_preprocessed_conf4_out.sdf,-4.104
CHEMBL19215_preprocessed_conf3_out.sdf,-4.205
CHEMBL222863_preprocessed_conf3_out.sdf,-3.233
CHEMBL1200925_preprocessed_conf4_out.sdf,-1.688
CHEMBL1431_preprocessed_conf2_out.sdf,-2.332
CHEMBL1678_preprocessed_conf8_out.sdf,-4.47
CHEMBL601_preprocessed_conf5_out.sdf,-2.636
CHEMBL92401_preprocessed_conf6_out.sdf,-3.111
CHEMBL1437_preprocessed_conf6_out.sdf,-3.525
CHEMBL2355839_preprocessed_conf5_out.sdf,-3.384
CHEMBL54349_preprocessed_conf7_out.sdf,-3.775
CHEMBL698_preprocessed_conf2_out.sdf,-3.528
CHEMBL233406_preprocessed_conf1_out.sdf,-1.824
CHEMBL2107004_preprocessed_conf0_out.sdf,-3.964
CHEMBL1201213_preprocessed_conf9_out.sdf,-3.295
CHEMBL2364633_preprocessed_conf6_out.sdf,-3.764
CHEMBL1214124_preprocessed_conf6_out.sdf,-4.871
CHEMBL995_preprocessed_conf0_out.sdf,-4.071
CHEMBL3544971_preprocessed_conf5_out.sdf,-3.719
CHEMBL3989551_preprocessed_conf1_out.sdf,-3.209
CHEMBL4650485_preprocessed_conf9_out.sdf,-4.082
CHEMBL779_preprocessed_conf3_out.sdf,-4.347
CHEMBL4594261_preprocessed_conf6_out.sdf,-4.879
CHEMBL65375_preprocessed_conf6_out.sdf,-3.613
CHEMBL1619785_preprocessed_conf4_out.sdf,-3.993
CHEMBL1763_preprocessed_conf3_out.sdf,-3.524
CHEMBL6466_preprocessed_conf6_out.sdf,-3.867
CHEMBL249837_preprocessed_conf2_out.sdf,-4.624
