Ligand,Score
CHEMBL19215_preprocessed_conf3_out.sdf,-4.393
CHEMBL222863_preprocessed_conf3_out.sdf,-3.824
CHEMBL1200925_preprocessed_conf4_out.sdf,-2.194
CHEMBL1431_preprocessed_conf2_out.sdf,-3.329
CHEMBL1678_preprocessed_conf8_out.sdf,-4.358
CHEMBL601_preprocessed_conf5_out.sdf,-4.056
CHEMBL92401_preprocessed_conf6_out.sdf,-4.942
CHEMBL1437_preprocessed_conf6_out.sdf,-4.253
CHEMBL2355839_preprocessed_conf5_out.sdf,-7.135
CHEMBL54349_preprocessed_conf7_out.sdf,-4.721
CHEMBL698_preprocessed_conf2_out.sdf,-4.216
CHEMBL233406_preprocessed_conf1_out.sdf,-2.133
CHEMBL2107004_preprocessed_conf0_out.sdf,-5.033
CHEMBL1201213_preprocessed_conf9_out.sdf,-3.998
CHEMBL2364633_preprocessed_conf6_out.sdf,-4.412
CHEMBL1214124_preprocessed_conf6_out.sdf,-5.711
CHEMBL995_preprocessed_conf0_out.sdf,-4.567
CHEMBL3544971_preprocessed_conf5_out.sdf,-5.91
CHEMBL3989551_preprocessed_conf1_out.sdf,-3.392
CHEMBL4650485_preprocessed_conf9_out.sdf,-4.838
CHEMBL779_preprocessed_conf3_out.sdf,-4.421
CHEMBL4594261_preprocessed_conf6_out.sdf,-4.701
CHEMBL65375_preprocessed_conf6_out.sdf,-4.899
CHEMBL1200574_preprocessed_conf3_out.sdf,-0.927
CHEMBL1619785_preprocessed_conf4_out.sdf,-4.334
CHEMBL1763_preprocessed_conf3_out.sdf,-3.938
CHEMBL6466_preprocessed_conf6_out.sdf,-6.438
CHEMBL249837_preprocessed_conf2_out.sdf,-4.318
CHEMBL1639_preprocessed_conf9_out.sdf,-4.379
CHEMBL965_preprocessed_conf8_out.sdf,-2.841
CHEMBL971_preprocessed_conf9_out.sdf,-3.082
CHEMBL1387_preprocessed_conf2_out.sdf,-4.901
CHEMBL3833332_preprocessed_conf4_out.sdf,-4.758
CHEMBL2107815_preprocessed_conf0_out.sdf,-5.018
CHEMBL276520_preprocessed_conf4_out.sdf,-4.039
CHEMBL1622_preprocessed_conf7_out.sdf,-4.164
CHEMBL517199_preprocessed_conf9_out.sdf,-4.26
CHEMBL2106975_preprocessed_conf4_out.sdf,-2.155
CHEMBL1201728_preprocessed_conf0_out.sdf,-3.971
CHEMBL1200989_preprocessed_conf4_out.sdf,-3.923
CHEMBL1201045_preprocessed_conf6_out.sdf,-3.477
CHEMBL1731_preprocessed_conf1_out.sdf,-4.057
CHEMBL1852688_preprocessed_conf4_out.sdf,-3.433
CHEMBL93_preprocessed_conf1_out.sdf,-4.059
CHEMBL288441_preprocessed_conf3_out.sdf,-3.659
CHEMBL3989403_preprocessed_conf4_out.sdf,-4.749
CHEMBL930_preprocessed_conf8_out.sdf,-3.7
CHEMBL1200873_preprocessed_conf5_out.sdf,-4.342
CHEMBL1256391_preprocessed_conf8_out.sdf,-5.943
CHEMBL360328_preprocessed_conf0_out.sdf,-3.939
CHEMBL2096650_preprocessed_conf2_out.sdf,-3.977
CHEMBL1200709_preprocessed_conf4_out.sdf,-4.73
CHEMBL2104594_preprocessed_conf8_out.sdf,-3.261
CHEMBL1431_preprocessed_conf8_out.sdf,-3.418
CHEMBL1201729_preprocessed_conf5_out.sdf,-4.77
CHEMBL5095049_preprocessed_conf8_out.sdf,-4.598
CHEMBL1696_preprocessed_conf0_out.sdf,-4.385
CHEMBL256997_preprocessed_conf3_out.sdf,-4.814
CHEMBL3989861_preprocessed_conf7_out.sdf,-4.118
CHEMBL1201302_preprocessed_conf6_out.sdf,-4.332
CHEMBL453514_preprocessed_conf8_out.sdf,-3.163
CHEMBL5315125_preprocessed_conf2_out.sdf,-4.88
CHEMBL1707_preprocessed_conf7_out.sdf,-4.382
CHEMBL428647_preprocessed_conf5_out.sdf,-4.412
CHEMBL2105760_preprocessed_conf6_out.sdf,-4.782
CHEMBL1201745_preprocessed_conf0_out.sdf,-4.438
CHEMBL105_preprocessed_conf4_out.sdf,-3.882
CHEMBL3989570_preprocessed_conf3_out.sdf,-6.032
CHEMBL218394_preprocessed_conf9_out.sdf,-4.412
CHEMBL1201027_preprocessed_conf8_out.sdf,-4.086
CHEMBL1433_preprocessed_conf4_out.sdf,-4.285
CHEMBL1255_preprocessed_conf2_out.sdf,-1.305
CHEMBL110458_preprocessed_conf4_out.sdf,-3.496
CHEMBL515408_preprocessed_conf2_out.sdf,-3.775
CHEMBL2178422_preprocessed_conf8_out.sdf,-5.323
CHEMBL2364638_preprocessed_conf5_out.sdf,-4.317
CHEMBL1373_preprocessed_conf9_out.sdf,-3.886
CHEMBL1615439_preprocessed_conf9_out.sdf,-3.849
CHEMBL1329455_preprocessed_conf4_out.sdf,-3.256
CHEMBL1465_preprocessed_conf9_out.sdf,-4.826
CHEMBL2105941_preprocessed_conf2_out.sdf,-3.535
CHEMBL1673148_preprocessed_conf0_out.sdf,-6.222
CHEMBL3989555_preprocessed_conf2_out.sdf,-5.546
CHEMBL866_preprocessed_conf6_out.sdf,-4.931
CHEMBL460291_preprocessed_conf0_out.sdf,-4.046
CHEMBL15677_preprocessed_conf9_out.sdf,-3.632
CHEMBL473159_preprocessed_conf1_out.sdf,-4.601
CHEMBL1201347_preprocessed_conf3_out.sdf,-4.058
CHEMBL1401_preprocessed_conf9_out.sdf,-3.851
CHEMBL278398_preprocessed_conf8_out.sdf,-4.619
CHEMBL3989567_preprocessed_conf0_out.sdf,-4.249
CHEMBL45816_preprocessed_conf2_out.sdf,-4.843
CHEMBL542541_preprocessed_conf0_out.sdf,-5.294
CHEMBL2062264_preprocessed_conf9_out.sdf,-4.588
CHEMBL1201262_preprocessed_conf2_out.sdf,-4.062
CHEMBL361506_preprocessed_conf6_out.sdf,-4.385
CHEMBL484785_preprocessed_conf1_out.sdf,-4.376
CHEMBL6466_preprocessed_conf7_out.sdf,-6.055
CHEMBL1364551_preprocessed_conf1_out.sdf,-4.574
CHEMBL1319362_preprocessed_conf5_out.sdf,-4.582
CHEMBL923_preprocessed_conf5_out.sdf,-2.842
CHEMBL3707393_preprocessed_conf5_out.sdf,-4.224
CHEMBL4297534_preprocessed_conf8_out.sdf,-4.32
CHEMBL1095097_preprocessed_conf2_out.sdf,-3.907
CHEMBL1589_preprocessed_conf4_out.sdf,-4.199
CHEMBL1201273_preprocessed_conf3_out.sdf,-5.436
CHEMBL741_preprocessed_conf6_out.sdf,-4.118
CHEMBL107_preprocessed_conf2_out.sdf,-3.933
CHEMBL608533_preprocessed_conf5_out.sdf,-5.323
CHEMBL516_preprocessed_conf5_out.sdf,-4.854
CHEMBL1200927_preprocessed_conf6_out.sdf,-5.2
CHEMBL1420_preprocessed_conf3_out.sdf,-4.469
CHEMBL1200733_preprocessed_conf6_out.sdf,-4.877
CHEMBL583_preprocessed_conf8_out.sdf,-4.316
CHEMBL3989885_preprocessed_conf0_out.sdf,-5.608
CHEMBL900_preprocessed_conf4_out.sdf,-3.952
CHEMBL2110848_preprocessed_conf2_out.sdf,-4.41
CHEMBL1201178_preprocessed_conf4_out.sdf,-4.677
CHEMBL304902_preprocessed_conf9_out.sdf,-4.564
CHEMBL98123_preprocessed_conf5_out.sdf,-4.326
CHEMBL1213351_preprocessed_conf8_out.sdf,-4.073
CHEMBL4298138_preprocessed_conf4_out.sdf,-3.978
CHEMBL1200334_preprocessed_conf0_out.sdf,-4.651
CHEMBL1110_preprocessed_conf7_out.sdf,-4.709
CHEMBL282042_preprocessed_conf3_out.sdf,-4.854
CHEMBL1276308_preprocessed_conf4_out.sdf,-5.358
CHEMBL3989962_preprocessed_conf0_out.sdf,-4.772
CHEMBL2111187_preprocessed_conf3_out.sdf,-1.569
CHEMBL3989406_preprocessed_conf7_out.sdf,-4.848
CHEMBL1134_preprocessed_conf8_out.sdf,-3.592
CHEMBL1670_preprocessed_conf7_out.sdf,-4.648
CHEMBL942_preprocessed_conf5_out.sdf,-4.746
CHEMBL788_preprocessed_conf4_out.sdf,-3.167
CHEMBL554_preprocessed_conf1_out.sdf,-4.611
CHEMBL3137317_preprocessed_conf8_out.sdf,-4.737
CHEMBL1201075_preprocessed_conf4_out.sdf,-3.127
CHEMBL4297334_preprocessed_conf8_out.sdf,-3.951
CHEMBL1200916_preprocessed_conf9_out.sdf,-5.033
CHEMBL325041_preprocessed_conf3_out.sdf,-5.468
CHEMBL2107004_preprocessed_conf2_out.sdf,-5.091
CHEMBL452231_preprocessed_conf5_out.sdf,-4.698
CHEMBL1029_preprocessed_conf7_out.sdf,-3.724
